data,dia,mes,ano,campanha,gride,balde,sp,dedos,dedos novos,ident,perdas,recaptura,saco,peso,pesototal,CRC,CC,BC,Quebrada,sexo,ovos,Local,OBS,cont indivíduo,cont capturas,,Problemas
14-out-22,14,10,2022,266,10,A,Tropidurus_torquatus,NA,100_5,105B,NA,Captura,1.00,10.25,9.25,69.00,98.00,NA,N,F,N,IBGE,,,,,
18-out-22,18,10,2022,266,1,M,Tropidurus_torquatus,NA,90_6,96B,NA,recaptura,1.00,10.75,9.75,66.00,88.00,NA,N,M,N,IBGE,,,,,
18-out-22,18,10,2022,266,1,A,Tropidurus_torquatus,NA,80_1,81B,NA,recaptura,1.00,12.75,11.75,71.00,107.00,55.00,N,M,N,IBGE,CAUDA REGENERADA,,,,
18-out-22,18,10,2022,266,19,M,Tropidurus_torquatus,NA,100_6,106B,NA,Captura,1.00,10.25,9.25,65.00,99.00,52.00,N,M,N,IBGE,CAUDA REGENERADA,,,,
21-out-22,21,10,2022,266,5,B,Tropidurus_torquatus,NA,100_7,107B,NA,Captura,1.00,15.00,14.00,75.00,114.00,NA,N,M,N,IBGE,,,,,
21-out-22,21,10,2022,266,15,A,Tropidurus_torquatus,NA,70_9,79B,NA,recaptura,1.00,14.00,13.00,75.00,103.00,NA,N,M,N,IBGE,,,,,
21-out-22,21,10,2022,266,20,A,Tropidurus_torquatus,NA,100_8,108B,NA,Captura,1.00,16.50,15.50,79.00,73.00,35.00,N,F,S,IBGE,,,,,
1-nov-22,1,11,2022,267,20,M,Tropidurus_torquatus,NA,100_9,109B,NA,Captura,1.00,15.50,14.50,76.00,123.00,NA,N,F,N,IBGE,,,,,
8-nov-22,8,11,2022,267,7,A,Tropidurus_torquatus,NA,90_5,95B,NA,recaptura,1.00,33.00,32.00,98.00,62.00,62.00,S,M,N,IBGE,CAUDA QUEBRADA,,,,
8-nov-22,8,11,2022,267,7,M,Tropidurus_torquatus,NA,100_10,110B,NA,Captura,2.00,30.00,28.00,94.00,56.00,48.00,N,F,N,IBGE,CAUDA REGENERANDO,,,,
25-nov-22,25,11,2022,267,18,B,Tropidurus_torquatus,NA,80_8,88B,NA,recaptura,2.00,22.50,20.50,88.00,124.00,NA,N,M,N,IBGE,,,,,
29-nov-22,29,11,2022,267,4,A,Tropidurus_torquatus,NA,100_10_1,111B,NA,Captura,1.00,19.25,18.25,76.00,113.00,NA,N,F,N,IBGE,,,,,
10-fev-23,10,2,2023,270,5,B,Tropidurus_torquatus,NA,80,80B,NA,recaptura,1.00,24.00,23.00,88.00,110.00,NA,N,F,S,IBGE,,,,,
14-fev-23,14,2,2023,270,10,A,Tropidurus_torquatus,NA,80_6,86B,NA,recaptura,1.00,14.50,13.50,76.00,111.00,NA,N,F,N,IBGE,,,,,
14-fev-23,14,2,2023,270,20,A,Tropidurus_torquatus,NA,100_6,106B,NA,recaptura,1.00,18.75,17.75,79.00,114.00,NA,N,M,N,IBGE,,,,,
21-fev-23,21,2,2023,270,19,M,Tropidurus_torquatus,NA,100_2,102B,NA,recaptura,2.00,14.00,12.00,73.00,112.00,25.00,N,F,N,IBGE,CAUDA REGENERADA,,,,
7-mar-23,7,3,2023,271,8,M,Tropidurus_torquatus,NA,80_4_9,84B,NA,recaptura,2.00,15.00,13.00,71.00,98.00,74.00,N,F,N,IBGE,DEDO 9 PREDADO,,,,
31-mar-23,31,3,2023,271,19,B,Tropidurus_torquatus,NA,200_50,50B,NA,recaptura,2.00,31.50,29.50,99.00,121.00,107.00,N,F,S,IBGE,"dedo 200 predado, CAUDA REGENERADA",,,,
04-abr-23,4,4,2023,272,7,C,Tropidurus_torquatus,NA,100_10_2,112B,NA,captura,NA,NA,NA,80.00,NA,NA,NA,F,S,IBGE,FUGIU NO MANUSEIO/ CAUDA REGENERADA,,,,
18-abr-23,18,4,2023,272,20,M,Tropidurus_torquatus,NA,100_50_9,159A,NA,recaptura,2.00,26.50,24.50,89.00,136.00,NA,N,F,S,IBGE,,,,,
09-mai-23,9,5,2023,273,16,B,Tropidurus_torquatus,NA,100_10_3,113B,NA,captura,1.00,3.50,2.50,36.00,62.00,NA,N,I,N,IBGE,,,,,
09-mai-23,9,5,2023,273,20,C,Tropidurus_torquatus,NA,200_60_10,260A,NA,recaptura,2.00,26.50,24.50,85.00,137.00,NA,N,F,N,IBGE,CAUDA MACHUCADA NO mm 92,,,,
